,timestamp,bids,asks
0,2021-11-18 15:05:35.780,"[[59967.5, 70620.0], [59966.5, 1000.0], [59961.5, 3000.0], [59957.0, 3620.0], [59956.5, 90.0], [59955.0, 3600.0], [59954.5, 5000.0], [59951.5, 17670.0], [59950.0, 890.0], [59949.5, 9800.0]]","[[59968.0, 2190.0], [59970.0, 3000.0], [59973.5, 1630.0], [59974.0, 5000.0], [59977.0, 3720.0], [59979.0, 510.0], [59980.0, 1000.0], [59981.5, 3600.0], [59983.0, 30000.0], [59983.5, 9910.0]]"
1,2021-11-18 15:05:35.824,"[[59967.5, 70620.0], [59966.5, 1000.0], [59961.5, 3000.0], [59957.0, 3620.0], [59956.5, 90.0], [59955.0, 3600.0], [59954.5, 5000.0], [59951.5, 17670.0], [59950.0, 890.0], [59949.5, 9800.0]]","[[59968.0, 2190.0], [59970.0, 3000.0], [59973.5, 1630.0], [59974.0, 5000.0], [59977.0, 3720.0], [59979.0, 510.0], [59980.0, 1000.0], [59981.5, 3600.0], [59983.0, 30000.0], [59983.5, 11910.0]]"
2,2021-11-18 15:05:36.148,"[[59967.5, 70620.0], [59966.5, 1000.0], [59961.5, 3000.0], [59957.0, 3620.0], [59956.5, 90.0], [59955.0, 3600.0], [59954.5, 5000.0], [59951.5, 17670.0], [59950.0, 890.0], [59949.5, 9800.0]]","[[59968.0, 2190.0], [59970.0, 3000.0], [59973.5, 1630.0], [59974.0, 5000.0], [59977.0, 3720.0], [59977.5, 2000.0], [59979.0, 510.0], [59980.0, 1000.0], [59981.5, 3600.0], [59983.0, 30000.0]]"
3,2021-11-18 15:05:36.507,"[[59967.5, 70620.0], [59966.5, 1000.0], [59961.5, 3000.0], [59957.0, 3620.0], [59956.5, 90.0], [59955.0, 3600.0], [59954.5, 5000.0], [59951.5, 17670.0], [59950.0, 890.0], [59949.5, 9800.0]]","[[59968.0, 2190.0], [59970.0, 3000.0], [59973.0, 2000.0], [59973.5, 1630.0], [59974.0, 5000.0], [59977.0, 3720.0], [59979.0, 510.0], [59980.0, 1000.0], [59981.5, 3600.0], [59983.0, 30000.0]]"
4,2021-11-18 15:05:36.835,"[[59967.5, 70620.0], [59966.5, 1000.0], [59961.5, 3000.0], [59957.0, 3620.0], [59956.5, 90.0], [59955.0, 3600.0], [59954.5, 5000.0], [59951.5, 17670.0], [59950.0, 890.0], [59949.5, 9800.0]]","[[59968.0, 2190.0], [59970.0, 3000.0], [59973.5, 1630.0], [59974.0, 5000.0], [59977.0, 5720.0], [59979.0, 510.0], [59980.0, 1000.0], [59981.5, 3600.0], [59983.0, 30000.0], [59983.5, 9910.0]]"
5,2021-11-18 15:05:37.134,"[[59967.5, 70620.0], [59966.5, 1000.0], [59961.5, 3000.0], [59957.0, 3620.0], [59956.5, 90.0], [59955.0, 3600.0], [59954.5, 5000.0], [59951.5, 17670.0], [59950.5, 20000.0], [59950.0, 890.0]]","[[59968.0, 2190.0], [59970.0, 3000.0], [59972.0, 1630.0], [59972.5, 10.0], [59973.0, 2000.0], [59974.0, 5000.0], [59977.0, 3720.0], [59979.0, 510.0], [59980.0, 1000.0], [59981.5, 3600.0]]"
6,2021-11-18 15:05:37.486,"[[59967.5, 76020.0], [59966.5, 1000.0], [59961.5, 3000.0], [59957.0, 3620.0], [59956.5, 90.0], [59955.0, 3600.0], [59954.5, 5000.0], [59951.5, 17670.0], [59950.5, 20000.0], [59950.0, 890.0]]","[[59968.0, 2190.0], [59970.0, 3000.0], [59972.0, 1630.0], [59972.5, 10.0], [59974.0, 5000.0], [59977.0, 3720.0], [59977.5, 2000.0], [59979.0, 510.0], [59980.0, 1000.0], [59981.5, 3600.0]]"
7,2021-11-18 15:05:37.829,"[[59967.5, 70620.0], [59966.5, 1000.0], [59961.5, 3000.0], [59957.0, 3620.0], [59956.5, 90.0], [59955.0, 3600.0], [59954.5, 5000.0], [59951.5, 17670.0], [59950.0, 890.0], [59949.5, 9800.0]]","[[59968.0, 2190.0], [59970.0, 3000.0], [59972.0, 1630.0], [59972.5, 10.0], [59974.0, 5000.0], [59977.0, 3720.0], [59977.5, 2000.0], [59979.0, 510.0], [59980.0, 1000.0], [59981.5, 3600.0]]"
8,2021-11-18 15:05:38.149,"[[59967.5, 70620.0], [59966.5, 1000.0], [59961.5, 3000.0], [59957.0, 3620.0], [59956.5, 90.0], [59955.0, 3600.0], [59954.5, 5000.0], [59951.5, 17670.0], [59950.0, 20890.0], [59949.5, 9800.0]]","[[59968.0, 2190.0], [59970.0, 3000.0], [59972.0, 1630.0], [59972.5, 10.0], [59974.0, 5000.0], [59977.0, 3720.0], [59977.5, 2000.0], [59979.0, 510.0], [59980.0, 1000.0], [59981.5, 3600.0]]"
9,2021-11-18 15:05:38.425,"[[59967.5, 70620.0], [59966.5, 1000.0], [59961.5, 3000.0], [59957.0, 3620.0], [59956.5, 90.0], [59955.0, 3600.0], [59954.5, 5000.0], [59951.5, 17670.0], [59950.0, 890.0], [59949.5, 9800.0]]","[[59968.0, 2190.0], [59970.0, 3000.0], [59972.0, 1630.0], [59972.5, 10.0], [59973.0, 2000.0], [59974.0, 5000.0], [59977.0, 3720.0], [59979.0, 510.0], [59980.0, 1000.0], [59981.5, 3600.0]]"
