,timestamp,bids,asks
0,2021-11-22 09:16:22.280,"[[59496.5, 18060.0], [59496.0, 3000.0], [59494.5, 20880.0], [59492.5, 3600.0], [59492.0, 2510.0], [59491.0, 6040.0], [59490.5, 400.0], [59489.5, 2840.0], [59489.0, 6450.0], [59488.5, 5000.0]]","[[59497.0, 4790.0], [59501.0, 1000.0], [59502.0, 120.0], [59507.0, 2320.0], [59509.0, 13590.0], [59509.5, 550.0], [59517.0, 5360.0], [59518.0, 550.0], [59518.5, 14580.0], [59519.0, 3600.0]]"
1,2021-11-22 09:16:22.348,"[[59496.5, 18060.0], [59496.0, 3000.0], [59494.5, 20880.0], [59492.5, 3600.0], [59492.0, 2510.0], [59491.0, 6040.0], [59490.5, 400.0], [59489.5, 2840.0], [59489.0, 6450.0], [59488.5, 5000.0]]","[[59497.0, 4790.0], [59501.0, 1000.0], [59502.0, 120.0], [59507.0, 2320.0], [59509.0, 13590.0], [59509.5, 550.0], [59517.0, 5360.0], [59518.0, 550.0], [59518.5, 13980.0], [59519.0, 3600.0]]"
2,2021-11-22 09:16:22.721,"[[59496.5, 1010.0], [59496.0, 3000.0], [59494.5, 20880.0], [59492.5, 3600.0], [59492.0, 2510.0], [59491.0, 6040.0], [59490.5, 400.0], [59489.5, 200.0], [59489.0, 9090.0], [59488.5, 5000.0]]","[[59497.0, 4790.0], [59501.0, 1000.0], [59502.0, 120.0], [59507.0, 2320.0], [59509.0, 13590.0], [59509.5, 550.0], [59517.0, 5360.0], [59518.0, 1150.0], [59518.5, 13980.0], [59519.0, 3600.0]]"
3,2021-11-22 09:16:23.037,"[[59496.5, 1010.0], [59494.5, 20880.0], [59492.5, 3600.0], [59492.0, 2510.0], [59491.0, 6040.0], [59490.5, 400.0], [59489.5, 3200.0], [59489.0, 9090.0], [59488.5, 5000.0], [59486.5, 590.0]]","[[59497.0, 4790.0], [59498.5, 1000.0], [59502.5, 120.0], [59504.5, 3000.0], [59507.0, 2320.0], [59509.0, 10590.0], [59509.5, 550.0], [59510.5, 5000.0], [59517.0, 360.0], [59518.0, 1200.0]]"
4,2021-11-22 09:16:23.384,"[[59496.5, 1010.0], [59494.5, 20880.0], [59492.5, 3600.0], [59492.0, 2510.0], [59491.0, 6040.0], [59489.5, 5840.0], [59489.0, 6450.0], [59488.5, 5000.0], [59486.5, 590.0], [59486.0, 10400.0]]","[[59497.0, 4790.0], [59498.5, 1000.0], [59502.5, 120.0], [59504.5, 3000.0], [59507.0, 2320.0], [59509.0, 10590.0], [59509.5, 550.0], [59510.5, 5000.0], [59517.0, 360.0], [59518.0, 1200.0]]"
5,2021-11-22 09:16:23.717,"[[59496.5, 1010.0], [59494.5, 20880.0], [59492.5, 3600.0], [59492.0, 2510.0], [59491.0, 6040.0], [59489.5, 5840.0], [59489.0, 6450.0], [59488.5, 5000.0], [59486.5, 590.0], [59486.0, 10400.0]]","[[59497.0, 4790.0], [59498.5, 1000.0], [59502.5, 120.0], [59504.5, 3000.0], [59507.0, 2320.0], [59509.0, 10590.0], [59509.5, 550.0], [59510.5, 5000.0], [59517.0, 360.0], [59518.0, 1200.0]]"
6,2021-11-22 09:16:24.048,"[[59496.5, 1010.0], [59494.5, 20880.0], [59493.0, 3000.0], [59492.5, 3600.0], [59492.0, 2510.0], [59491.0, 6040.0], [59489.5, 2840.0], [59489.0, 6450.0], [59488.5, 5000.0], [59486.5, 590.0]]","[[59497.0, 4790.0], [59498.5, 1000.0], [59502.5, 120.0], [59504.5, 3000.0], [59507.0, 2320.0], [59509.0, 10590.0], [59509.5, 550.0], [59510.5, 5000.0], [59517.0, 360.0], [59518.0, 1200.0]]"
7,2021-11-22 09:16:24.389,"[[59496.5, 10.0], [59494.5, 20000.0], [59494.0, 1000.0], [59492.0, 2510.0], [59491.5, 880.0], [59489.5, 2840.0], [59489.0, 3000.0], [59486.5, 590.0], [59486.0, 10400.0], [59485.5, 14240.0]]","[[59497.0, 4790.0], [59498.5, 1000.0], [59499.5, 120.0], [59500.5, 3000.0], [59507.0, 2320.0], [59508.5, 510.0], [59509.0, 10590.0], [59509.5, 2550.0], [59511.0, 3600.0], [59512.5, 90.0]]"
8,2021-11-22 09:16:24.718,"[[59490.5, 20010.0], [59488.5, 1000.0], [59486.5, 590.0], [59485.0, 2640.0], [59484.5, 3610.0], [59484.0, 3000.0], [59483.5, 17050.0], [59481.5, 400.0], [59481.0, 30.0], [59480.5, 780.0]]","[[59491.0, 5760.0], [59493.0, 120.0], [59493.5, 2080.0], [59496.0, 3000.0], [59497.0, 30.0], [59500.0, 2510.0], [59502.0, 10580.0], [59505.0, 5000.0], [59508.5, 510.0], [59509.0, 60.0]]"
9,2021-11-22 09:16:25.044,"[[59490.5, 10.0], [59488.5, 1000.0], [59488.0, 3000.0], [59486.5, 590.0], [59486.0, 20000.0], [59485.0, 2640.0], [59484.5, 3610.0], [59483.5, 17050.0], [59482.5, 10950.0], [59481.5, 400.0]]","[[59491.0, 4780.0], [59493.5, 2080.0], [59497.0, 10.0], [59500.0, 2510.0], [59500.5, 3000.0], [59502.0, 10580.0], [59504.5, 120.0], [59505.0, 5000.0], [59507.0, 10000.0], [59508.5, 510.0]]"
